TAG,KEY,English,Russian,German,French,Spanish,Italian,Portuguese,Chinese,Japanese,Bulgarian,Lithuanian
Common,bye,Bye,Пока,,,,,,,,,
Common,continue,Continue,Продолжить,,,,,,,,,
Common,pleaseContinue,Please continue,"Пожалуйста, продолжай",,,,,,,,,
DateTime,day,day,день,Tag,jour,día,giorno,dia,天,日,ден,diena
DateTime,daysShort,d,д,t,j,d,g,d,日,日,д,d
DateTime,hoursShort,h,ч,s,h,h,h,h,时,時間,ч,v
DateTime,lessThanOneMinute,Less than 1m,Менее 1м,Weniger als 1 Minute,Moins d'1m,Menos de 1 m,Meno di 1 m,Menos de 1 m,少于1分钟,1分未満,По-малко от минута,Mažiau nei 1 min.
DateTime,minutesShort,m,м,m,m,m,m,m,分,分,м,m
DateTime,secondsShort,s,с,s,s,s,s,s,秒,秒,с,s
Language,Bulgarian,,,,,,,,,,Български,
Language,Chinese,,,,,,,,中文,,,
Language,English,English,,,,,,,,,,
Language,French,,,,Français,,,,,,,
Language,German,,,Deutsch,,,,,,,,
Language,Italian,,,,,,Italiano,,,,,
Language,Japanese,,,,,,,,,日本語,,
Language,Lithuanian,,,,,,,,,,,Lietuvių
Language,Portuguese,,,,,,,Português brasileiro,,,,
Language,Russian,,Русский,,,,,,,,,
Language,Spanish,,,,,Español,,,,,,
Language,language,Language,Язык,,,,,,,,,
Settings,graphics,Graphics,Графика,,,,,,,,,
Settings,refreshRate,Refresh rate,Частота обновления,,,,,,,,,
Settings,display,Display,Дисплей,,,,,,,,,
Settings,other,Other,Разное,,,,,,,,,
Settings,shadows,Shadows,Тени,,,,,,,,,
Settings,on,ON,ВКЛ,,,,,,,,,
Settings,off,OFF,ВЫКЛ,,,,,,,,,
Settings,sound,Sound,Звук,,,,,,,,,
Settings,music,Music,Музыка,,,,,,,,,
Settings,fpsLimit,FPS Limit,Ограничение FPS,,,,,,,,,
Settings,antiAliasing,Anti Aliasing,Сглаживание,,,,,,,,,
Settings,restart,Restart,Перезапуск,,,,,,,,,
Settings,load,Load,Загрузить,,,,,,,,,
Settings,reset,Reset,Сброс,,,,,,,,,
Settings,renderScale,Render Scale,Масштаб отрисовки,,,,,,,,,
Settings,fullScreen,Fullscreen,Во весь экран,,,,,,,,,
Settings,musicVolume,Music volume,Громкость музыки,,,,,,,,,
Settings,masterVolume,Master volume,Общая громкость,,,,,,,,,
Settings,voiceChat,Voice Chat,Голосовой чат,,,,,,,,,
Settings,voiceChatVolume,Voice Chat Volume,Громкость голосового чата,,,,,,,,,
Common,no,No,Нет,,,,,,,,,
Common,yes,Yes,Да,,,,,,,,,
Common,later,Later,Позже,,,,,,,,,
Common,review,Review,Отзыв,,,,,,,,,
SundayWallet,account,Account,Аккаунт,,,,,,,,,
SundayWallet,address,Address,Адрес,,,,,,,,,
SundayWallet,advancedView,Advanced view,Расширенный вид,,,,,,,,,
SundayWallet,amount,Amount,Количество,,,,,,,,,
SundayWallet,settings,Settings,Настройки,,,,,,,,,
SundayWallet Fee,average,Average,Средне,,,,,,,,,
SundayWallet,blockchain,Blockchain,Блокчейн,,,,,,,,,
SundayWallet,buyCrypto,Buy crypto,Купить крипту,,,,,,,,,
SundayWallet,choiceAccount,Choose account,Выбор аккаунта,,,,,,,,,
SundayWallet,choose,Choose,Выбрать,,,,,,,,,
SundayWallet,clickMoreTimes,Click {0} more [times|time|times],Нажми еще {0} [раз|раз|раза],,,,,,,,,
SundayWallet,confirm,Confirm,Подтвердить,,,,,,,,,
SundayWallet,create,Create,Создать,,,,,,,,,
SundayWallet,createAccount,Create account,Создание аккаунта,,,,,,,,,
SundayWallet,delete,Delete,Удалить,,,,,,,,,
SundayWallet,deposit,Deposit,Пополнить,,,,,,,,,
SundayWallet,error,Error,Ошибка,Fehler,Erreur,Error,Errore,Erro,错误,エラー,Грешка,Klaida
SundayWallet,errorDuplicateAccount,Account with address {0} has already been added,Аккаунт с адресом {0} уже добавлен,,,,,,,,,
SundayWallet,errorInvalidPrivateKey,Invalid private key,Неверный закрытый ключ,,,,,,,,,
SundayWallet,fast,Fast,Быстро,Schnell,Rapide,Rápido,Veloce,Rápido,快速,高速,Бързо,Greita
SundayWallet,function,Function,Функция,,,,,,,,,
SundayWallet,gasLimit,GAS limit,Лимит GAS,,,,,,,,,
SundayWallet,gasPrice,GAS price,Цена GAS,,,,,,,,,
SundayWallet,gotIt,Got it,Понятно,,,,,,,,,
SundayWallet,highFeeWarning,"The network is currently overloaded, so the transaction fee will be high","Сейчас сеть перегружена, поэтому комиссия будет высокой",,,,,,,,,
SundayWallet,txWillFailWarning,The transaction could not be executed: {0},Транзакция не может быть выполнена: {0},,,,,,,,,
SundayWallet,import,Import,Импорт,,,,,,,,,
SundayWallet,importAccount,Import Account,Импорт аккаунта,,,,,,,,,
SundayWallet,insufficientFundsWarning,Insufficient funds to execute the transaction so please top up your account,Не хватает средств для выполнения транзакции - нужно пополнить аккаунт,,,,,,,,,
SundayWallet,name,Name,Имя,,,,,,,,,
SundayWallet,namePlaceholder,Enter account name here,Введите сюда название аккаунта,,,,,,,,,
SundayWallet,privateKey,Private Key,Закрытый ключ,,,,,,,,,Privatus raktas
SundayWallet,privateKeyBackupWarning,Your accounts are stored locally and will be lost if the app data is deleted so make sure your private keys are backed up somewhere else,"Ваши аккаунты хранятся локально и будут потеряны, если данные приложения будут удалены - поэтому убедитесь, что ваши приватные ключи сохранены где-то еще",,,,,,,,,
SundayWallet,privateKeyPlaceholder,Paste a private key here,Введите сюда закрытый ключ,,,,,,,,,
SundayWallet,recipient,Recipient,Получатель,,,,,,,,,
SundayWallet,recipientAccount,Recipient account,Аккаунт получателя,,,,,,,,,
SundayWallet,recipientAddress,Recipient address,Адрес получателя,,,,,,,,,
SundayWallet,replace,Replace,Заменить,,,,,,,,,
SundayWallet,save,Save,Сохранить,,,,,,,,,
SundayWallet,send,Send,Отправить,,,,,,,,,
SundayWallet Fee,speedOptions,Speed options,Варианты скорости,,,,,,,,,
SundayWallet Fee,slow,Slow,Медленно,,,,,,,,,
SundayWallet Fee,manually,Manually,Вручную,,,,,,,,,
SundayWallet,smartContract,Smart contract,Смарт контракт,,,,,,,,,
SundayWallet,transaction,Transaction,Транзакция,Transaktion,Transaction,Transacción,Transazione,Transação,交易,トランザクション,Транзакция,Transakcija
SundayWallet,transactions,Transactions,Транзакции,,,,,,,,,
SundayWallet,transactionFee,Transaction Fee,Комиссия,,,,,,,,,
SundayWallet,updateRequired,Update required,Требуется обновление,,,,,,,,,
SundayWallet,updateRequiredDescription,Please update the game to version {0},"Пожалуйста, обнови игру до версии {0}",,,,,,,,,
SundayWallet,yourAccount,Your account,Твой аккаунт,Deine Wallet,Votre portefeuille,Tu monedero,Il tuo Portafoglio,Sua carteira,钱包,あなたのウォレット,Вашият wallet,Jūsu piniginė
SundayWallet PIN,pinButton,Set a PIN to store private keys more securely,"Установи ПИН, чтобы безопаснее хранить приватные ключи",,,,,,,,,
SundayWallet PIN,pinCode,PIN Code,ПИН код,,,,,,,,,
SundayWallet PIN,enterPin,Enter PIN,Введи ПИН,,,,,,,,,
SundayWallet PIN,repeatPin,Repeat PIN,Повтори ПИН,,,,,,,,,
SundayWallet PIN,wrongPin,"Wrong PIN. If you forgot it, no one else can help restore access, sorry. You will have to reinstall the game and add your private keys to the wallet again (hope you backed up them somewhere else).","Неверный ПИН. Если ты забыл его, извини, никто другой не сможет помочь восстановить доступ. Тебе придется переустановить игру и добавить свои приватные ключи в кошелек снова (надеемся, ты сохранил их где-то еще).",,,,,,,,,
SundayWallet PIN,pinDescription,"A PIN allows to further protect your private keys stored on this device. After setup, the PIN will be requested once for each session. If you forget the PIN, you will lose access (even developers can't help), so make sure your private keys are backed up somewhere else.","ПИН позволяет дополнительно защитить хранящиеся на этом устройстве приватные ключи. После установки, ПИН будет запрашиваться один раз для каждой сессии. Если ты забудешь ПИН - потеряешь доступ (даже разработчики не смогут помочь), так что убедись, что сохранил свои приватные ключи где-то еще.",,,,,,,,,
Wallets,walletSelection,Wallet selection,Выбор кошелька,,,,,,,,,
Wallets,MetaMaskFeatures,The most popular external crypto wallet (you will need to install the browser extension),Самый популярный внешний крипто-кошелек (потребуется установить расширение для браузера),,,,,,,,,
Wallets,SundayWalletFeatures,Fast and convenient crypto wallet creates accounts and stores them securely on your device,Быстрый и удобный крипто-кошелек создает аккаунты и безопасно хранит их на устройстве,,,,,,,,,
Wallets,ImmutableFeatures,Immutable Passport allows to instantly log in and opens access to the entire Immutable ecosystem,Immutable Passport позволяет мгновенно залогиниться и открывает доступ ко всей экосистеме Immutable,,,,,,,,,
Wallets,connectWallet,Connect wallet,Подключить кошелек,,,,,,,,,
Wallets,alternativeWaysLogin,Alternative ways to login or register,Альтернативные способы зайти или зарегистрироваться,,,,,,,,,
Error,AccountDoesNotExist,Your account is not fully configured. Please top up it by any amount of TRX first.,Аккаунт не настроен. Сначала пополните его на любую сумму TRX.,,,,,,,,,
Error,AccountIsWrong,"The account in {0} and the account of your game profile does not match.
Please set this account: {1}","Выбранный в {0} аккаунт не совпадает с аккаунтом вашего профиля.
Пожалуйста, выберите аккаунт: {1}",,,,,,,,,
Error,BlockchainUnsupported,This blockchain is not yet supported by this wallet. Please contact the game developer.,,,,,,,,,,
Error,FeePriceNotDefined,Failed to determine the fee price. Please try later.,,,,,,,,,,
Error,NetworkUnsupported,The selected network is not supported by the wallet. Please select another network.,,,,,,,,,,
Error,WrongNetwork,"The wrong network has been selected in {0}.
Please select {1}.","В {0} выбрана неверная сеть.
Пожалуйста, выберите {1}.",,,,,,,,,
Error,WrongNetwork_ADD,"If it is not in the list, you should add it yourself: {0}","Если ее нет в списке, тогда добавьте: {0}",,,,,,,,,
Error,NotLoggedIn,You are not logged into your wallet. Please login first.,,,,,,,,,,
Error,OperationTimeout,The transaction has not been executed and failed by timeout. Please wait while the blockchain network starts working steadily.,,,,,,,,,,
Error,TransactionExceededCPU,There is not enough CPU to complete the transaction. Please freeze more CPU.,,,,,,,,,,
Error,FeatureDontSupported,This feature is not supported by selected wallet application. Please select another wallet,"Эта функция не поддерживается выбранным кошельком. Пожалуйста, выберите другой кошелек",,,,,,,,,
Error,TransactionExceededNET,There is not enough NET to complete the transaction. Please freeze more NET.,,,,,,,,,,
Error,TransactionExceededRAM,There is not enough RAM to complete the transaction. Please buy more RAM.,,,,,,,,,,
Error,TransactionExpired,Time to confirm the transaction has expired. Please try again.,,,,,,,,,,
Error,TransactionNotEnoughTokens,There is not enough cryptocurrency on your account. Please top up your account.,,,,,,,,,,
Error,TransactionWillFail,The transaction cannot be executed. Please try again in a few minutes. If this error persists - contact the developers to resolve it.,"Транзакция не может быть выполена. Попробуйте снова через несколько минут. Если ошибка будет повторяться, пожалуйста, обратитесь к разработчикам.",Die Transaktion kann wegen eines unbekannten Fehlers nicht durchgeführt werden. Bitte versuche es in einigen Minuten nochmal.,La transaction n'a pas pu etre executée pour une raison inconnue. Merci de réessayer dans quelques minutes.,No se puede realizar la transacción debido a un motivo desconocido. Inténtalo de nuevo en unos minutos.,Impossibile eseguire la transazione per motivi sconosciuti. Riprovare tra qualche minuto.,A transação não pode ser executada por motivo desconhecido. Tente em alguns minutos.,"交易因未知原因无法执行
请几分钟后重试","不明な理由により、トランザクションが行えません
数分後にもう一度お試しください","Транзакцията не може да бъде изпълнена, моля опитайте пак след няколко минути","Transakcija negali būti įvykdyta dėl nežinomos priežasties. Prašome pabandyti dar kartą po kelių minučių. Jeigu problema pasikartos, prašome informuoti mus."
Error,WalletLocked,{0} is locked. Please open the wallet and follow the instructions to unlock it.,"{0} заблокирован. Пожалуйста, откройте кошелек и следуйте инструкциям, чтобы разблокировать его.",,,,,,,,,
Error,WalletNotInstalled,"{0} not installed. Please install this wallet, it will securely store your cryptocurrency and game assets. {0} will also act as your login to the game.
RELOAD THIS PAGE AFTER INSTALLATION","{0} не установлен. Пожалуйста, установите этот кошелек, он будет надежно хранить вашу криптовалюту и игровые предметы. Так же {0} требуется для доступа к игровому профилю.
ПЕРЕЗАГРУЗИТЕ СТРАНИЦУ ПОСЛЕ УСТАНОВКИ",,,,,,,,,
Tx Status,fail,Fail,Неуспешна,Fehlgeschlagen,Échec,Fracaso,Transazione fallita,Falhou,失败,失敗,Неуспешно,Nepavyko
Tx Status,pending,Pending,Обрабатывается,Ausstehend,En attente,Pendiente,In corso,Pendente,处理中,保留中,Предстоящ,Laukiama
Tx Status,success,Success,Успешна,Erfolg,Succès,Éxito,Riuscita,Sucesso,成功,成功,Успешно,Pavyko
Tx Status,completed,Completed,Завершено,,,,,,,,,
Tx Status,sync,Sync,Cинхронизируется,,,,,,,,,Sinchronizavimas
Tx Status,timeout,Timeout,Тайм-аут,Auszeit,Abandonnée,Tiempo de espera excedido,Tempo scaduto,Tempo esgotado,超时,タイムアウト,Неуспешно,Baigėsi laikas
Tx Notifications,TX_SWAP,Exchange {0} for approx {1},Обмен {0} на около {1},,,,,,,,,
Tx Notifications,TX_TRANSFER,Sending {0} to {1},Отправка {0} к {1},,,,,,,,,
Tx Notifications,TX_RECEIVE,Getting {0},Получение {0},,,,,,,,,
Tx Notifications,TX_RECEIVE_FROM,Getting {0} from {1},Получение {0} от {1},,,,,,,,,
Tx Notifications,TX_APPROVE,Approving to use {0},Разрешение использовать {0},,,,,,,,,
Tx Notifications,TX_STAKE,Staking {0},Стейкинг {0},,,,,,,,,
Tx Notifications,TX_UNSTAKE,Unstaking {0},Анстейкинг {0},,,,,,,,,
Tx Notifications,TX_MARKET_ORDER_FULFILL_SALE,Buying of {0},Покупка {0},,,,,,,,,
Tx Notifications,TX_MARKET_ORDER_FULFILL_PURCHASE,Selling of {0},Продажа {0},,,,,,,,,
Tx Stake,stake,Stake,Стейк,,,,,,,,,
Tx Stake,unstake,Unstake,Анстейк,,,,,,,,,
Tx Stake,staking,Staking,Стейкинг,,,,,,,,,
Tx Stake,claim,Claim,Забрать,,,,,,,,,
,feePriceUpdating,Fee price updating,Обновление fee price,,,,,,,,,